Label,Prob,STD,n,0 Sleep Apnea,,
Gender=1|Sleep Disorder=1,0.610541649,0.002214995,219,1 None,t-score,-0.033702136
Gender=1|Sleep Disorder=2,0.056338023,0.004491035,78,2 Insomnia,p-value,0.973158318
Gender=1|Sleep Disorder=0,0.515026239,0.006522293,77,,Diff?,FALSE
Gender=0|Sleep Disorder=1,0.358059315,0.002214995,219,,,
Gender=0|Sleep Disorder=2,1.050207247,0.004491035,78,,,
Gender=0|Sleep Disorder=0,0.452818581,0.006522293,77,,,
Age=20|Sleep Disorder=1,0.010033909,0.038464887,219,,,
Age=20|Sleep Disorder=2,0.001104132,0.114146296,78,,,
Age=20|Sleep Disorder=0,0.000255502,0.075656586,77,,,
Age=30|Sleep Disorder=1,0.040152366,0.038464887,219,,,
Age=30|Sleep Disorder=2,0.012491152,0.114146296,78,,,
Age=30|Sleep Disorder=0,0.018216805,0.075656586,77,,,
Age=40|Sleep Disorder=1,0.039258163,0.038464887,219,,,
Age=40|Sleep Disorder=2,0.0400241,0.114146296,78,,,
Age=40|Sleep Disorder=0,0.068209662,0.075656586,77,,,
Age=50|Sleep Disorder=1,0.009378354,0.038464887,219,,,
Age=50|Sleep Disorder=2,0.036322717,0.114146296,78,,,
Age=50|Sleep Disorder=0,0.013412694,0.075656586,77,,,
Occupation=9|Sleep Disorder=1,0.002322591,0.0104348,219,,,
Occupation=9|Sleep Disorder=2,0.013905415,0.021105708,78,,,
Occupation=9|Sleep Disorder=0,0.093896835,0.043690246,77,,,
Occupation=1|Sleep Disorder=1,0.149115959,0.0104348,219,,,
Occupation=1|Sleep Disorder=2,0.011508136,0.021105708,78,,,
Occupation=1|Sleep Disorder=0,0.028207832,0.043690246,77,,,
Occupation=6|Sleep Disorder=1,0.046507573,0.0104348,219,,,
Occupation=6|Sleep Disorder=2,0.206174137,0.021105708,78,,,
Occupation=6|Sleep Disorder=0,0.116037501,0.043690246,77,,,
Occupation=10|Sleep Disorder=1,0.000583173,0.0104348,219,,,
Occupation=10|Sleep Disorder=2,0.002706051,0.021105708,78,,,
Occupation=10|Sleep Disorder=0,0.07332539,0.043690246,77,,,
Occupation=5|Sleep Disorder=1,0.086109063,0.0104348,219,,,
Occupation=5|Sleep Disorder=2,0.242151021,0.021105708,78,,,
Occupation=5|Sleep Disorder=0,0.104351831,0.043690246,77,,,
Occupation=2|Sleep Disorder=1,0.173240383,0.0104348,219,,,
Occupation=2|Sleep Disorder=2,0.042869536,0.021105708,78,,,
Occupation=2|Sleep Disorder=0,0.044664541,0.043690246,77,,,
Occupation=0|Sleep Disorder=1,0.105983086,0.0104348,219,,,
Occupation=0|Sleep Disorder=2,0.002136054,0.021105708,78,,,
Occupation=0|Sleep Disorder=0,0.01630808,0.043690246,77,,,
Occupation=8|Sleep Disorder=1,0.007638105,0.0104348,219,,,
Occupation=8|Sleep Disorder=2,0.049406377,0.021105708,78,,,
Occupation=8|Sleep Disorder=0,0.110071228,0.043690246,77,,,
Occupation=3|Sleep Disorder=1,0.166192567,0.0104348,219,,,
Occupation=3|Sleep Disorder=2,0.110418947,0.021105708,78,,,
Occupation=3|Sleep Disorder=0,0.064741436,0.043690246,77,,,
Occupation=7|Sleep Disorder=1,0.020741298,0.0104348,219,,,
Occupation=7|Sleep Disorder=2,0.121376074,0.021105708,78,,,
Occupation=7|Sleep Disorder=0,0.118119867,0.043690246,77,,,
Occupation=4|Sleep Disorder=1,0.131647164,0.0104348,219,,,
Occupation=4|Sleep Disorder=2,0.19664796,0.021105708,78,,,
Occupation=4|Sleep Disorder=0,0.085906902,0.043690246,77,,,
Sleep Duration=6|Sleep Disorder=1,0.122074137,0.003428171,219,,,
